ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VC2414_pyruvate_dehydrogenase_subunit_E1	2584895	2587555	-	1.94E+06	25531	175.619	1598.29	2.09E+06	20649	158.546	1687.19	8.36E+06	110042	593.323	3517.45	8.05E+06	79751	464.241	2431.26	2.77E+06	36435	195.916	1355.07	4.03E+06	52981	304.894	1486.63	3118	97	37.0324	944.865	6717	208	17.5609	562.192	20939	648	54.5377	805.469	38410	1189	57.4295	857.922
VC2415_transcriptional_regulator_PdhR	2587605	2588375	-	313686	4127	98.0775	892.592	204791	2028	53.7814	572.321	719155	9463	176.252	1044.89	432754	4285	86.1626	451.239	160536	2112	39.2373	271.388	243191	3200	63.6138	310.175	345	11	14.1552	361.163	950	29	8.57998	274.678	2375	74	21.3695	315.608	3381	105	17.4633	260.879
VC2416_2%60,3%60-cyclic-nucleotide_2%60-phosphodiesterase,_putative	2588859	2590763	+	41748	549	5.27878	48.0416	55353	548	5.87876	62.5596	122852	1616	12.1763	72.186	284315	2815	22.8929	119.892	118937	1565	11.7562	81.3127	171417	2255	18.1335	88.4172	231	7	3.83295	97.7958	1398	43	5.10615	163.467	824	26	2.99835	44.2828	1157	36	2.41679	36.1037
VC2417_ssDNA_exonuclease_RecJ	2590808	2592547	-	54202	713	7.50379	68.2911	53007	525	6.16376	65.5924	161901	2130	17.5692	104.157	147195	1457	12.9766	67.9594	76678	1009	8.29828	57.3957	119063	1567	13.7902	67.2399	196	6	3.56077	90.8514	1362	42	5.44667	174.369	1701	53	6.77684	100.087	2910	90	6.65527	99.421
VC2418_thiol:disulfide_interchange_protein_DsbC	2592606	2593358	-	28838	379	9.23235	84.0226	26093	258	7.01646	74.6665	75897	999	19.0462	112.913	101461	1005	20.6847	108.327	43220	569	10.8164	74.8127	68697	904	18.3999	89.716	413	13	17.3508	442.698	1133	35	10.4777	335.431	2108	65	19.4212	286.832	3327	103	17.5957	262.857
VC2419_site-specific_tyrosine_recombinase_XerD	2593375	2594283	-	39612	521	10.5028	95.585	45354	449	10.1005	107.485	116341	1531	24.1795	143.346	156060	1545	26.3496	137.995	54175	713	11.2287	77.6643	84498	1112	18.7437	91.3925	110	3	3.82732	97.6522	860	27	6.58667	210.865	1308	40	9.98031	147.4	2011	62	8.80844	131.586
VC2420_flavodoxin_FldB	2594421	2594939	+	57979	763	26.9467	245.239	51960	514	20.2839	215.854	100426	1321	36.5862	216.897	172246	1705	50.9786	266.978	82720	1088	30.0537	207.869	111107	1462	43.2023	210.65	148	5	9.02651	230.307	265	8	3.5577	113.896	1409	44	18.8453	278.327	1763	55	13.5361	202.212
VC2421_N-acetyl-anhydromuranmyl-L-alanine_amidase	2595217	2595762	-	19499	257	8.61352	78.3907	20899	207	7.75427	82.518	39948	526	13.8325	82.0042	43843	434	12.3331	64.5892	25462	335	8.79251	60.8141	35099	462	12.9716	63.2482	148	5	8.57932	218.897	562	17	7.17122	229.578	1154	36	14.6701	216.663	1943	60	14.1791	211.817
VC2422_quinolinate_phosphoribosyltransferase	2596058	2596948	+	65222	858	17.6429	160.566	80304	795	18.2456	194.163	72640	956	15.4024	91.3111	79974	792	13.7761	72.1465	27450	361	5.80456	40.1477	54500	717	12.3339	60.139	36	1	1.27791	32.6053	929	29	7.25904	232.39	859	27	6.68691	98.7593	2339	72	10.4523	156.144
VC2423_fimbrial_protein	2597151	2597654	+	6594	87	3.15606	28.723	9203	91	3.69976	39.3714	8439	111	3.1661	18.7698	12569	124	3.8309	20.0627	11491	151	4.29939	29.7371	14503	191	5.80744	28.3165	73	2	4.58504	116.985	349	11	4.82515	154.472	491	15	6.76294	99.8822	1067	33	8.43663	126.032
VC2424_type_IV_pilus_assembly_protein_PilB	2597654	2599342	+	8546	112	1.21886	11.0927	12926	128	1.54847	16.4783	11460	151	1.28119	7.59539	16239	161	1.47488	7.72401	8139	107	0.907435	6.27634	7659	101	0.913891	4.45604	87	3	1.6283	41.5453	1567	49	6.4558	206.675	83	3	0.340665	5.0313	259	8	0.610239	9.11617
VC2425_type_IV_pilin_biogenesis_protein_PilC	2599385	2600611	+	1259	17	0.247229	2.25001	1836	18	0.302827	3.22257	2926	39	0.450386	2.67006	6174	61	0.772049	4.04327	4008	53	0.615254	4.25545	1596	21	0.262203	1.27848	261	8	6.72571	171.603	914	28	5.18452	165.977	145	4	0.819407	12.1019	202	6	0.65529	9.78917
VC2426_leader_peptidase_PilD	2600669	2601544	+	7541	99	2.07485	18.8829	12375	123	2.85989	30.4339	25832	340	5.57123	33.0284	37095	367	6.49944	34.038	23047	303	4.95705	34.2858	26945	355	6.20247	30.2427	0.5	0	0.018053	0.460614	755	23	6.00056	192.101	729	23	5.77221	85.25	1381	43	6.27709	93.7714
VC2427_dephospho-CoA_kinase	2601508	2602149	+	8759	115	3.28974	29.9395	8035	80	2.53478	26.9741	23091	304	6.79807	40.3016	29484	292	7.05175	36.9305	19795	260	5.81185	40.1981	26832	353	8.43121	41.1098	74	2	3.64722	93.057	468	14	5.0774	162.547	399	12	4.31258	63.6927	763	24	4.73412	70.7215
VC2428_hypothetical_protein	2602181	2602921	+	69389	913	22.5748	205.451	72904	722	19.9219	212.002	65151	857	16.6146	98.4979	114755	1136	23.7743	124.508	62270	819	15.8367	109.536	78222	1029	21.2908	103.812	260	8	11.1002	283.215	1025	32	9.63264	308.378	2331	72	21.8239	322.319	4257	132	22.8794	341.788
VC2429_zinc-binding_protein	2603063	2603260	+	28981	381	35.417	322.326	18479	183	18.9681	201.852	29612	390	28.3663	168.166	87626	868	68.1923	357.127	17585	231	16.7994	116.194	36576	481	37.396	182.339	0.5	0	0.0801847	2.04587	225	7	7.94272	254.277	66	2	2.32113	34.2809	112	3	2.26112	33.7782
VC2430_DNA_topoisomerase_IV_subunit_A	2603309	2605594	-	120385	1584	12.6838	115.434	127168	1259	11.2539	119.76	435999	5737	36.0081	213.47	467454	4628	31.3633	164.251	241580	3179	19.8972	137.62	324424	4269	28.5971	139.437	692	22	9.5677	244.115	3138	97	9.55036	305.744	3874	120	11.7462	173.48	5493	170	9.56084	142.826
VC2431_DNA_topoisomerase_IV_subunit_B	2605598	2607478	-	106369	1400	13.6214	123.967	108504	1074	11.6708	124.196	382821	5037	38.4272	227.812	271858	2692	22.1693	116.102	141966	1868	14.2116	98.2957	185289	2438	19.8512	96.7925	565	18	9.49464	242.251	2495	77	9.22924	295.464	3116	96	11.4832	169.596	6830	211	14.4489	215.848
VC2432_esterase_YqiA	2607807	2608394	-	23358	307	9.57993	87.1859	12822	127	4.41702	47.0043	100579	1323	32.3348	191.693	103938	1029	27.1459	142.165	47500	625	15.229	105.333	54608	719	18.7376	91.3625	75	2	4.03656	102.991	398	12	4.71518	150.951	1519	47	17.9284	264.786	2928	91	19.8383	296.359
VC2433_cyclic_3_,5_-adenosine_monophosphate_phosphodiesterase	2608396	2609214	-	58649	772	17.2612	157.093	41782	414	10.3287	109.915	189966	2500	43.8252	259.813	228748	2265	42.8719	224.523	105417	1387	24.2535	167.751	120344	1583	29.6323	144.484	272	9	10.5052	268.035	1313	41	11.1626	357.357	2592	80	21.9535	324.232	4144	128	20.1483	300.99
VC2434_hypothetical_protein	2609239	2609685	-	23043	303	12.4385	113.202	25881	256	11.7343	124.872	79844	1051	33.7838	200.284	140392	1390	48.2588	252.734	76547	1007	32.3006	223.409	82639	1087	37.3203	181.97	77	2	5.45436	139.165	596	18	9.29319	297.511	625	19	9.70884	143.39	1212	38	10.8079	161.455
VC2435_MutT/nudix_family_protein	2609692	2610318	-	73662	969	28.3292	257.821	59803	592	19.3179	205.574	181643	2390	54.7577	324.625	435092	4308	106.555	558.037	172986	2276	52.006	359.704	213343	2807	68.6434	334.699	0.5	0	0.0252339	0.64383	390	12	4.33255	138.702	987	31	10.9236	161.331	1146	35	7.28086	108.767
VC2436_outer_membrane_channel_protein	2610550	2611866	+	247193	3253	45.2215	411.556	254700	2522	39.1368	416.479	333142	4383	47.7721	283.212	938782	9295	109.365	572.75	514423	6769	73.5667	508.83	876595	11534	134.165	654.173	461	14	11.0671	282.371	2959	92	15.6366	500.588	7544	234	39.7162	586.571	14796	458	44.7158	667.995
VC2438_bifunctional_glutamine-synthetase_adenylyltransferase/deadenyltransferase	2613465	2616311	-	64834	853	5.48445	49.9133	79368	786	5.63926	60.0109	129169	1700	8.56494	50.7763	213481	2114	11.4999	60.2255	149302	1965	9.87296	68.2871	195033	2566	13.8028	67.3012	458	14	5.08415	129.72	2467	76	6.0282	192.986	3233	100	7.87033	116.237	6819	211	9.52924	142.354
VC2439_methyl-accepting_chemotaxis_protein	2616435	2617736	-	158785	2089	29.3831	267.412	221123	2189	34.3691	365.743	268164	3528	38.8977	230.601	416895	4128	49.1267	257.28	248720	3273	35.9791	248.852	376916	4959	58.3528	284.523	324	10	7.86784	200.744	1576	49	8.42427	269.693	5076	157	27.0313	399.226	8372	259	25.5932	382.329
VC2440_hypothetical_protein	2618176	2619693	-	129184	1700	20.5016	186.583	137086	1357	18.2734	194.459	266770	3510	33.1858	196.738	670220	6636	67.733	354.722	361937	4762	44.9019	310.567	437467	5756	58.0837	283.211	305	10	6.35188	162.065	2181	68	9.99823	320.082	5482	170	25.0366	369.767	8948	277	23.4592	350.449
VC2441_hypothetical_protein	2619893	2620579	+	238954	3144	83.86	763.201	194643	1927	57.3755	610.569	205609	2705	56.5613	335.317	347434	3440	77.6456	406.635	149502	1967	41.0147	283.682	210224	2766	61.7238	300.959	843	26	38.8232	990.555	767	24	7.77543	248.922	2757	85	27.8442	411.232	5648	175	32.7449	489.165
VC2442_pho4_family_protein	2620683	2621984	+	167785	2208	31.0485	282.569	244073	2417	37.9362	403.703	232701	3062	33.7538	200.105	211827	2097	24.9616	130.725	107520	1415	15.5535	107.577	142596	1876	22.0762	107.642	132	4	3.20542	81.7847	1390	43	7.43003	237.864	1835	57	9.77195	144.322	3214	100	9.82519	146.775
VC2443_hypothetical_protein	2622151	2622759	+	96021	1263	38.0213	346.028	40260	399	13.39	142.492	80074	1054	24.8536	147.342	101539	1005	25.6034	134.087	49290	649	15.2571	105.527	73103	962	24.2173	118.081	429	13	22.2916	568.76	882	27	10.0883	322.966	865	27	9.85678	145.575	2233	69	14.6069	218.208
VC2444_general_secretion_pathway_protein_B,_putative	2622851	2623621	-	16529	217	5.16798	47.0332	18425	182	4.8387	51.4916	35068	461	8.59452	50.9516	38640	383	7.69334	40.2905	31131	410	7.60885	52.6272	51782	681	13.5451	66.0447	27	1	1.1078	28.265	836	26	7.55038	241.717	325	10	2.92425	43.1884	506	16	2.61356	39.0431
VC2445_general_secretion_pathway_protein_A	2623621	2625210	-	25975	342	3.93547	35.8163	26220	260	3.33673	35.5082	60642	798	7.20196	42.696	55626	551	5.36689	28.1067	26341	347	3.11979	21.5783	46652	614	5.91345	28.8334	0.5	0	0.00994109	0.253642	850	26	3.72005	119.093	1108	34	4.83101	71.3495	2122	66	5.31122	79.3426
VC2446_multifunctional_tRNA_nucleotidyl_transferase/2_3_-cyclic_phosphodiesterase/2_nucleotidase/phosphatase	2625303	2626514	+	13942	183	2.7717	25.2249	14593	144	2.43676	25.9311	26190	345	4.08124	24.1952	32481	322	4.11201	21.5348	22435	295	3.48657	24.1152	25435	335	4.23041	20.6271	65	2	1.69573	43.2658	990	31	5.68518	182.005	452	14	2.58593	38.1917	772	24	2.5354	37.8755
VC2447_phosphopyruvate_hydratase	2626616	2627917	-	1.55E+06	20361	286.347	2606.01	2.61E+06	25868	406.079	4321.34	2.33E+06	30643	337.809	2002.66	7.03E+06	69634	828.77	4340.32	5.45E+06	71646	787.672	5448	6.05E+06	79571	936.238	4565	2434	76	59.1059	1508.06	5603	173	29.95	958.814	20036	620	106.698	1575.83	34429	1066	105.249	1572.29
VC2448_CTP_synthetase	2627996	2629633	-	510745	6720	75.1139	683.603	889032	8802	109.82	1168.66	1.72E+06	22634	198.301	1175.6	2.66E+06	26289	248.667	1302.29	946450	12453	108.809	752.588	1.33E+06	17521	163.841	798.874	628	20	12.1199	309.233	3560	110	15.1236	484.164	9607	297	40.6594	600.501	16316	505	39.6404	592.175
VC2449_hypothetical_protein	2629719	2629859	+	0.5	0	0.000859819	0.00782511	12	0	0.0173326	0.184448	0.5	0	0.000673974	0.00399558	0.5	0	0.000547533	0.00286747	0.5	0	0.000672139	0.0046489	0.5	0	0.000719344	0.00350745	27	1	6.09289	155.457	71	2	3.52682	112.907	0.5	0	0.0247437	0.365441	0.5	0	0.0142041	0.212191
VC2450_nucleoside_triphosphate_pyrophosphohydrolase	2629908	2630723	-	29547	389	8.72812	79.4336	25085	248	6.22398	66.2333	57136	752	13.2298	78.4314	111918	1108	21.0529	110.255	65486	862	15.1219	104.592	70108	922	17.3263	84.4811	191	6	7.40395	188.908	618	19	5.27332	168.819	1668	52	14.1795	209.418	2436	75	11.8875	177.584
VC2451_GTP_pyrophosphokinase	2630823	2633039	-	172186	2266	18.7065	170.246	231208	2289	21.0982	224.519	277589	3652	23.6392	140.143	402922	3989	27.8753	145.985	230593	3034	19.5836	135.452	343155	4515	31.19	152.079	465	15	6.62935	169.145	2120	66	6.65303	212.989	5876	182	18.3711	271.323	10661	330	19.1338	285.833
VC2452_23S_rRNA_5-methyluridine_methyltransferase	2633103	2634425	-	52209	687	9.50777	86.5292	83503	827	12.7727	135.922	110256	1451	15.7388	93.3058	162460	1609	18.8401	98.6668	63940	841	9.10244	62.9578	94652	1245	14.4209	70.315	116	4	2.77214	70.7297	962	30	5.06054	162.007	1607	50	8.42184	124.382	3200	99	9.627	143.815
VC2453_hybrid_sensory_histidine_kinase_BarA	2634597	2637380	+	60130	791	5.20167	47.3398	68086	674	4.94716	52.6459	73200	963	4.96363	29.4263	97316	964	5.36092	28.0755	80145	1055	5.41976	37.4862	106562	1402	7.7123	37.6044	314	10	3.56455	90.9477	2423	75	6.05471	193.835	3544	110	8.82273	130.303	6382	198	9.12045	136.247
VC2454_GGDEF_family_protein	2637368	2638660	-	29185	384	5.43829	49.4932	33728	334	5.27886	56.1756	41686	549	6.08876	36.0965	36880	365	4.3762	22.9184	43130	568	6.28252	43.4535	41727	549	6.50503	31.7179	50	2	1.22263	31.1948	897	28	4.82818	154.569	1121	35	6.01126	88.7806	1758	54	5.41164	80.8428
VC2455_hypothetical_protein	2638653	2639063	-	4252	56	2.49675	22.7226	6730	67	3.31927	35.3225	12615	166	5.80637	34.4224	18469	183	6.90602	36.1673	15316	202	7.03037	48.6261	15838	208	7.78057	37.9373	0.5	0	0.0385278	0.983018	427	13	7.24265	231.865	217	7	3.66689	54.1565	778	24	7.54689	112.741
VC2456_hypothetical_protein	2639073	2640410	-	23689	312	4.2656	38.8208	29389	291	4.44493	47.3013	67458	888	9.52145	56.4469	97894	969	11.2252	58.787	61897	814	8.71275	60.2624	71018	934	10.6987	52.1659	295	9	6.97073	177.855	841	26	4.37439	140.041	1560	48	8.0838	119.39	3995	124	11.8839	177.529
VC2457_4_-phosphopantetheinyl_transferase	2640613	2640993	-	39640	522	25.1139	228.559	33357	330	17.7507	188.896	52235	687	25.9405	153.786	176698	1749	71.288	373.34	76270	1004	37.7735	261.263	147054	1935	77.945	380.052	262	8	21.7824	555.767	288	9	5.27062	168.733	269	8	4.90446	72.4342	388	12	4.06088	60.6643
VC2458_pyridoxine_5_-phosphate_synthase	2640997	2641728	-	86088	1133	28.3524	258.032	73093	724	20.2195	215.168	247495	3257	63.8925	378.78	368896	3652	77.3669	405.175	219126	2883	56.4148	390.198	344372	4531	94.8867	462.658	199	6	8.6005	219.438	739	23	7.0304	225.07	1825	57	17.2969	255.458	2952	91	16.061	239.93
VC2459_DNA_repair_protein_RecO	2641725	2642450	-	21071	277	6.997	63.6789	19263	191	5.37276	57.1749	69562	915	18.1065	107.343	96351	954	20.3745	106.702	33920	446	8.80511	60.9012	53134	699	14.7615	71.9754	56	2	2.44027	62.2623	328	10	3.14622	100.723	627	19	5.99172	88.4921	936	29	5.13464	76.7048
VC2460_GTP-binding_protein_Era	2642520	2643497	-	120169	1581	29.6117	269.492	165594	1640	34.2738	364.729	354869	4669	68.5448	406.36	206171	2041	32.352	169.43	136042	1790	26.2057	181.254	165653	2180	34.1507	166.515	429	13	13.8724	353.947	1170	36	8.32807	266.614	795	25	5.63761	83.2621	1821	56	7.4129	110.739
VC2461_ribonuclease_III	2643490	2644167	-	99785	1313	35.4847	322.943	109681	1086	32.7608	348.628	207227	2727	57.7642	342.449	141735	1403	32.0965	168.091	75193	989	20.9029	144.576	108211	1424	32.1942	156.976	32	1	1.49331	38.101	637	20	6.54341	209.48	726	22	7.42968	109.729	723	22	4.24739	63.4504
VC2462_signal_peptidase_I	2644199	2645095	-	138466	1822	37.2049	338.598	112905	1118	25.481	271.16	356215	4687	75.0249	444.777	201459	1995	34.4705	180.524	116883	1538	24.5505	169.805	140066	1843	31.4861	153.523	100	3	3.52598	89.9637	735	23	5.7047	182.629	1558	48	12.0471	177.924	2995	93	13.2942	198.597
VC2463_GTP-binding_protein_LepA	2645187	2646980	-	641007	8434	86.0691	783.305	583571	5778	65.815	700.379	1.00E+06	13191	105.515	625.533	548467	5430	46.8963	245.599	362127	4765	38.01	262.899	563382	7413	63.2874	308.583	591	18	10.4135	265.694	2799	87	10.8561	347.547	6361	197	24.5792	363.011	10790	334	23.9339	357.541
VC2464_sigma-E_factor_regulatory_protein_RseC	2647093	2647563	-	34755	457	17.8026	162.02	28947	287	12.4542	132.533	118097	1554	47.4179	281.112	41165	408	13.4276	70.3212	39584	521	15.8503	109.63	40601	534	17.3994	84.8377	144	5	9.67949	246.968	1333	41	19.7236	631.427	1901	59	28.0225	413.865	3199	99	27.07	404.391
VC2465_periplasmic_negative_regulator_of_sigmaE	2647560	2648525	-	86904	1143	21.6809	197.315	90527	896	18.9698	201.869	423863	5577	82.8895	491.401	225583	2233	35.8383	187.687	138252	1819	26.9626	186.489	194581	2560	40.6133	198.026	1096	34	35.8815	915.5	2887	89	20.8052	666.056	5261	163	37.7714	557.848	10198	316	42.0301	627.874
VC2466_sigma-E_factor_negative_regulatory_protein_RseA	2648522	2649160	-	103483	1362	39.0493	355.383	147190	1457	46.6519	496.452	894542	11770	264.595	1568.62	395681	3918	95.0809	497.944	308709	4062	91.0637	629.849	380919	5012	120.256	586.357	1160	36	57.4414	1465.59	4740	147	51.6667	1654.05	7529	233	81.7596	1207.51	13258	410	82.6475	1234.65
VC2467_RNA_polymerase_sigma_factor_RpoE	2649174	2649746	-	184180	2423	77.5196	705.497	195772	1938	69.2096	736.503	1.22E+06	16014	401.519	2380.36	822996	8148	220.582	1155.2	318160	4186	104.681	724.032	482189	6345	169.792	827.887	1280	40	70.6971	1803.8	4458	138	54.1997	1735.14	4247	131	51.4409	759.733	7746	240	53.8585	804.575
VC2468_hypothetical_protein	2650077	2650274	-	144	2	0.175979	1.60157	294	3	0.301782	3.21145	507	7	0.485672	2.87925	1869	19	1.45449	7.61727	110	1	0.105086	0.726833	258	3	0.263784	1.28618	0.5	0	0.0801847	2.04587	125	4	4.41262	141.265	29	1	1.01989	15.0628	2	0	0.0403772	0.603182
VC2469_L-aspartate_oxidase	2650206	2651858	+	99973	1315	14.5693	132.593	126880	1256	15.5308	165.273	301015	3961	34.3858	203.852	874106	8655	81.119	424.825	555039	7303	63.231	437.342	670333	8820	81.7288	398.502	342	11	6.54039	166.875	1683	52	7.08479	226.812	1846	57	7.74184	114.34	3784	117	9.1099	136.09
VC2470_hypothetical_protein	2651883	2652329	-	23571	310	12.7235	115.796	34874	345	15.8117	168.262	40091	528	16.9634	100.566	62005	614	21.3138	111.622	35207	463	14.8563	102.755	26247	345	11.8533	57.7956	27	1	1.91257	48.7982	965	30	15.0469	481.708	745	23	11.5729	170.921	1450	45	12.9302	193.16
VC2471_hypothetical_protein	2652277	2652537	-	119451	1572	110.607	1006.62	156238	1547	121.514	1293.1	92390	1216	67.0583	397.548	231142	2289	136.293	713.776	165505	2178	119.799	828.602	142539	1876	110.422	538.406	50	2	6.07553	155.014	659	20	17.6265	564.291	1542	48	41.0897	606.856	3227	100	49.3626	737.413
VC2472_hypothetical_protein	2652690	2653661	+	56812	748	14.0859	128.195	51074	506	10.6363	113.188	124739	1641	24.2429	143.721	170438	1688	26.9101	140.93	109473	1440	21.218	146.756	162673	2140	33.7436	164.53	200	6	6.50727	166.03	843	26	6.03756	193.286	2351	73	16.7747	247.747	3954	122	16.1953	241.937
VC2473_hypothetical_protein	2654268	2654501	+	50284	662	51.9564	472.849	63697	631	55.2809	588.278	42958	565	34.7928	206.265	79140	784	52.0725	272.707	87728	1154	70.8597	490.107	97954	1289	84.6761	412.873	70	2	9.49139	242.168	231	7	6.8946	220.723	2009	62	59.7374	882.264	3916	121	66.8435	998.554
VC2474_2-octaprenyl-6-methoxyphenol_hydroxylase	2654602	2655831	-	42530	560	8.33122	75.8215	45063	446	7.41447	78.902	110134	1449	16.9111	100.255	138034	1367	17.2188	90.1759	106776	1405	16.3508	113.091	131710	1733	21.5855	105.249	206	6	5.29545	135.111	1371	42	7.7578	248.357	1950	60	10.9927	162.352	3869	120	12.5204	187.039
VC2475_2-octaprenyl-6-methoxyphenyl_hydroxylase	2655843	2657051	-	46419	611	9.25111	84.1933	58781	582	9.8397	104.71	193038	2540	30.1562	178.778	294448	2915	37.3689	195.703	123616	1627	19.2586	133.204	185162	2436	30.8731	150.534	227	7	5.93672	151.473	799	25	4.59974	147.255	2009	62	11.5222	170.172	3316	103	10.9174	163.092
VC2476_hypothetical_protein	2657072	2657545	-	34389	452	17.5034	159.297	57655	571	24.6483	262.298	122744	1615	48.9711	290.32	320680	3175	103.939	544.336	121530	1599	48.3548	334.449	193268	2543	82.2988	401.281	0.5	0	0.0333962	0.852087	410	13	6.02804	192.981	477	15	6.98682	103.189	921	29	7.7441	115.687
VC2477_hypothetical_protein	2657551	2657646	-	4384	58	11.1099	101.11	2809	28	5.97916	63.628	8280	109	16.4478	97.509	16514	164	26.65	139.568	7431	98	14.7211	101.82	12127	160	25.7113	125.366	0.5	0	0.166278	4.2425	0.5	0	0.0366016	1.17176	282	9	20.5659	303.739	435	13	18.2112	272.051
VC2478_hypothetical_protein	2657888	2658196	+	218970	2881	171.159	1557.7	160292	1587	105.238	1119.9	398940	5249	244.432	1449.09	800142	7922	398.277	2085.8	245644	3232	150.097	1038.16	373490	4914	244.243	1190.91	205	6	21.0277	536.511	975	30	22.0144	704.766	1581	49	35.5634	525.238	3849	119	49.7015	742.475
VC2479_hypothetical_protein	2658396	2658980	+	278288	3662	114.722	1044.07	808299	8003	279.879	2978.37	469332	6175	151.659	899.094	463938	4593	121.791	637.828	177970	2342	57.3523	396.682	297760	3918	102.695	500.73	513	16	27.7519	708.076	815	25	9.70505	310.696	167	5	1.98119	29.2603	275	9	1.8728	27.9772
VC2480_ribose-5-phosphate_isomerase_A	2659090	2659746	+	98295	1293	36.0738	328.304	83403	826	25.7093	273.588	226867	2985	65.2632	386.906	177762	1760	41.5436	217.566	86490	1138	24.813	171.621	131200	1726	40.2833	196.417	148	5	7.12764	181.858	448	14	4.74928	152.043	2105	65	22.2316	328.339	3290	102	19.9464	297.973
VC2481_D-3-phosphoglycerate_dehydrogenase	2660000	2661229	+	87289	1149	17.0991	155.617	82072	813	13.5038	143.702	130218	1713	19.9949	118.538	384986	3812	48.0244	251.507	934805	12300	143.148	990.096	1.55E+06	20333	253.254	1234.84	839	26	21.5674	550.282	1367	42	7.73517	247.633	5416	168	30.5316	450.922	8330	258	26.9566	402.697
VC2482_acetolactate_synthase_3_regulatory_subunit	2661461	2661955	-	48539	639	23.6553	215.284	23141	229	9.47255	100.803	40663	535	15.5337	92.0895	84356	835	26.1793	137.102	163986	2158	62.4736	432.104	218343	2873	89.024	434.072	90	3	5.75577	146.856	546	17	7.68633	246.069	1105	34	15.4974	228.881	1741	54	14.0167	209.39
VC2483_acetolactate_synthase_3_catalytic_subunit	2661957	2663678	-	133299	1754	18.6471	169.705	104083	1031	12.2296	130.142	172694	2272	18.9364	112.262	326416	3232	29.0776	152.281	557208	7332	60.9331	421.449	893000	11750	104.512	509.589	285	9	5.23181	133.487	1699	53	6.8654	219.788	4710	146	18.961	280.037	8049	249	18.6009	277.873
VC2484_long-chain-fatty-acid--CoA_ligase,_putative	2664163	2665968	-	114691	1509	15.2974	139.22	117986	1168	13.218	140.661	314128	4133	32.8421	194.701	673827	6672	57.2321	299.728	265401	3492	27.6721	191.396	298709	3930	33.3323	162.525	697	22	12.1995	311.265	1519	47	5.8524	187.358	1542	48	5.91874	87.4142	2799	87	6.16734	92.132
